epoch,train_loss,forecast_mse
0,1.9176691770553589,1.0534095764160156
50,1.5584020614624023,1.0288704633712769
100,1.5654857158660889,1.0266083478927612
150,1.557144284248352,1.0263795852661133
200,1.5637218952178955,1.0256706476211548
250,1.5486810207366943,1.026123285293579
300,1.5458710193634033,1.024783730506897
350,1.5541722774505615,1.0264892578125
400,1.546877145767212,1.0273362398147583
450,1.54364013671875,1.0279324054718018
500,1.5408895015716553,1.0274014472961426
550,1.5449583530426025,1.0298585891723633
600,1.536839246749878,1.027213454246521
650,1.5462456941604614,1.0271551609039307
700,1.5426323413848877,1.026518702507019
750,1.5433220863342285,1.0277605056762695
800,1.5376819372177124,1.0269604921340942
850,1.5415385961532593,1.0268828868865967
900,1.5329325199127197,1.0273358821868896
950,1.5325719118118286,1.0277074575424194
1000,1.5288047790527344,1.027741551399231
1050,1.522589921951294,1.0285385847091675
1100,1.5244606733322144,1.026628017425537
1150,1.5115103721618652,1.0278853178024292
1200,1.500500202178955,1.0280369520187378
1250,1.4930660724639893,1.0269502401351929
1300,1.4959211349487305,1.0291165113449097
1350,1.4972846508026123,1.0285921096801758
1400,1.4914729595184326,1.0289301872253418
1450,1.4887042045593262,1.0296928882598877
1500,1.487297534942627,1.0293142795562744
1550,1.4791009426116943,1.0295875072479248
1600,1.476611852645874,1.030656099319458
1650,1.4730195999145508,1.0294506549835205
1700,1.479245662689209,1.0317509174346924
1750,1.470823049545288,1.0309597253799438
1800,1.4558789730072021,1.0316294431686401
1850,1.4681689739227295,1.0321077108383179
1900,1.4645459651947021,1.031723976135254
1950,1.4707372188568115,1.0309134721755981
2000,1.455354928970337,1.0311723947525024
2050,1.464924693107605,1.0314679145812988
2100,1.4557979106903076,1.0318630933761597
2150,1.4481101036071777,1.0318611860275269
2200,1.4403324127197266,1.0313286781311035
2250,1.4502968788146973,1.0300376415252686
2300,1.440205454826355,1.0292556285858154
2350,1.4441615343093872,1.0298781394958496
2400,1.4393460750579834,1.0286678075790405
2450,1.4247918128967285,1.0289356708526611
2500,1.4231396913528442,1.0287740230560303
2550,1.4173622131347656,1.027129888534546
2600,1.4153010845184326,1.0267750024795532
2650,1.4077872037887573,1.0260276794433594
2700,1.4007513523101807,1.025719165802002
2750,1.3928210735321045,1.0249452590942383
2800,1.3868486881256104,1.0233259201049805
2850,1.3846176862716675,1.024393081665039
2900,1.3747167587280273,1.0237798690795898
2950,1.3712209463119507,1.0228854417800903
3000,1.3666037321090698,1.0236570835113525
3050,1.358109712600708,1.023301124572754
3100,1.3500912189483643,1.0221381187438965
3150,1.3407258987426758,1.0224623680114746
3200,1.341186761856079,1.0215373039245605
3250,1.3378872871398926,1.0222158432006836
3300,1.3335261344909668,1.0220364332199097
3350,1.3263771533966064,1.0213963985443115
3400,1.316762924194336,1.0214706659317017
3450,1.3087360858917236,1.0212817192077637
3500,1.3034876585006714,1.0209487676620483
3550,1.30336332321167,1.020764708518982
3600,1.2958714962005615,1.0204873085021973
3650,1.2894903421401978,1.0208503007888794
3700,1.2782478332519531,1.019875168800354
3750,1.2782046794891357,1.0200368165969849
3800,1.2732402086257935,1.0196527242660522
3850,1.2628790140151978,1.0197529792785645
3900,1.2631103992462158,1.0193713903427124
3950,1.2584065198898315,1.0191981792449951
4000,1.246060848236084,1.018804907798767
4050,1.2437173128128052,1.0188840627670288
4100,1.242722749710083,1.018703579902649
4150,1.242994785308838,1.0191818475723267
4200,1.2416630983352661,1.018947720527649
4250,1.2409089803695679,1.0186419486999512
4300,1.23919677734375,1.0186657905578613
4350,1.2433369159698486,1.0187444686889648
4400,1.2327264547348022,1.0185209512710571
4450,1.2287755012512207,1.0188865661621094
4500,1.2345809936523438,1.0184043645858765
4550,1.2272294759750366,1.018370509147644
4600,1.2266417741775513,1.0183162689208984
4650,1.2329323291778564,1.0180859565734863
4700,1.2318891286849976,1.0184450149536133
4750,1.2255958318710327,1.0182275772094727
4800,1.227036476135254,1.0183532238006592
4850,1.2288565635681152,1.018370509147644
4900,1.231550693511963,1.018248438835144
4950,1.2274569272994995,1.018276333808899
4999,1.2270987033843994,1.0182788372039795
