epoch,train_loss,forecast_mse
0,1.9176691770553589,1.0864977836608887
50,1.813238501548767,1.067801833152771
100,1.7175650596618652,1.052733302116394
150,1.6634377241134644,1.0417248010635376
200,1.633298397064209,1.0343002080917358
250,1.5908803939819336,1.0297777652740479
300,1.5762934684753418,1.0274133682250977
350,1.582214593887329,1.026492714881897
400,1.5713862180709839,1.026292085647583
450,1.5655959844589233,1.0264647006988525
500,1.565807580947876,1.0267363786697388
550,1.5705913305282593,1.0270140171051025
600,1.5660078525543213,1.0272321701049805
650,1.5704691410064697,1.0273698568344116
700,1.572298526763916,1.0274763107299805
750,1.568764567375183,1.0275168418884277
800,1.5647482872009277,1.0275468826293945
850,1.5686116218566895,1.0275284051895142
900,1.5633575916290283,1.0275037288665771
950,1.5674872398376465,1.027511477470398
1000,1.5646681785583496,1.02752685546875
1050,1.5646108388900757,1.0275284051895142
1100,1.5702180862426758,1.0275354385375977
1150,1.5631365776062012,1.0275088548660278
1200,1.5639119148254395,1.027509093284607
1250,1.5596427917480469,1.027478814125061
1300,1.5646569728851318,1.027448058128357
1350,1.5681383609771729,1.027402639389038
1400,1.5673871040344238,1.027419090270996
1450,1.5668082237243652,1.0274275541305542
1500,1.5644774436950684,1.0273754596710205
1550,1.5647320747375488,1.027359962463379
1600,1.5642064809799194,1.02739417552948
1650,1.5583467483520508,1.027392864227295
1700,1.5637383460998535,1.027374029159546
1750,1.563736081123352,1.0273213386535645
1800,1.5603079795837402,1.027374505996704
1850,1.565171480178833,1.0273094177246094
1900,1.5624750852584839,1.027292013168335
1950,1.5644049644470215,1.0273033380508423
2000,1.5633924007415771,1.0272588729858398
2050,1.565810203552246,1.0272586345672607
2100,1.564331293106079,1.0272700786590576
2150,1.5595061779022217,1.0272247791290283
2200,1.5598641633987427,1.0272307395935059
2250,1.565709114074707,1.0272326469421387
2300,1.5553252696990967,1.027192234992981
2350,1.5665265321731567,1.0272248983383179
2400,1.5673292875289917,1.0270509719848633
2450,1.5607061386108398,1.0270622968673706
2500,1.5603193044662476,1.027086615562439
2550,1.5604510307312012,1.0270373821258545
2600,1.564969539642334,1.0270185470581055
2650,1.5647374391555786,1.0270222425460815
2700,1.5642046928405762,1.0270570516586304
2750,1.5600244998931885,1.026965618133545
2800,1.5605977773666382,1.0269591808319092
2850,1.5669975280761719,1.0269404649734497
2900,1.558086633682251,1.0268534421920776
2950,1.5636496543884277,1.0269029140472412
3000,1.565442681312561,1.026857852935791
3050,1.5620534420013428,1.026882290840149
3100,1.557464361190796,1.0266848802566528
3150,1.5569078922271729,1.026708960533142
3200,1.5618432760238647,1.0268018245697021
3250,1.5577406883239746,1.0266550779342651
3300,1.5625510215759277,1.0269055366516113
3350,1.5606484413146973,1.0266774892807007
3400,1.562239408493042,1.0266648530960083
3450,1.5590214729309082,1.0266621112823486
3500,1.5577980279922485,1.02664315700531
3550,1.5643198490142822,1.0266011953353882
3600,1.5588831901550293,1.0264393091201782
3650,1.5574684143066406,1.0265424251556396
3700,1.5554239749908447,1.026415228843689
3750,1.5592930316925049,1.0264434814453125
3800,1.558993935585022,1.0263763666152954
3850,1.5586106777191162,1.0263887643814087
3900,1.5592495203018188,1.0263688564300537
3950,1.5592000484466553,1.0264395475387573
4000,1.553036093711853,1.0263569355010986
4050,1.5551066398620605,1.0262771844863892
4100,1.5570521354675293,1.0262715816497803
4150,1.5590265989303589,1.0264092683792114
4200,1.5598702430725098,1.0262737274169922
4250,1.5584274530410767,1.026282787322998
4300,1.5660301446914673,1.026038408279419
4350,1.5679322481155396,1.026158094406128
4400,1.554870367050171,1.0262537002563477
4450,1.5538299083709717,1.0260913372039795
4500,1.5569889545440674,1.0261125564575195
4550,1.553279995918274,1.0259199142456055
4600,1.5559628009796143,1.0261638164520264
4650,1.5576872825622559,1.0257823467254639
4700,1.5572446584701538,1.0262739658355713
4750,1.5566809177398682,1.025892734527588
4800,1.55967378616333,1.0260798931121826
4850,1.553161382675171,1.0261338949203491
4900,1.565243124961853,1.0257673263549805
4950,1.5567231178283691,1.0258961915969849
4999,1.5548338890075684,1.0261214971542358
