group,varied_value,hidden_neurons,lr,use_scheduler,n_colloc,physics_const,epochs,success,final_train_loss,final_forecast_mse,elapsed_seconds
lr,0.1,64,0.1,False,10000,1.0,5000,True,1.5026365518569946,1.0050853490829468,23.06113028526306
lr,0.01,64,0.01,False,10000,1.0,5000,True,0.0701734721660614,0.30630940198898315,21.27052879333496
lr,0.001,64,0.001,False,10000,1.0,5000,True,0.8198587894439697,1.0030492544174194,22.4352765083313
lr,0.0001,64,0.0001,False,10000,1.0,5000,True,1.5337674617767334,1.0269299745559692,20.970036506652832
lr,1e-05,64,1e-05,False,10000,1.0,5000,True,1.5548338890075684,1.0261214971542358,20.58506751060486
hidden_neurons,32.0,32,0.001,True,10000,1.0,5000,True,1.4937819242477417,1.02362060546875,22.308313369750977
hidden_neurons,64.0,64,0.001,True,10000,1.0,5000,True,1.2270987033843994,1.0182788372039795,21.040090084075928
hidden_neurons,128.0,128,0.001,True,10000,1.0,5000,True,1.0700995922088623,1.0255848169326782,25.185247659683228
hidden_neurons,256.0,256,0.001,True,10000,1.0,5000,True,1.0697295665740967,1.0245907306671143,51.167628049850464
hidden_neurons,512.0,512,0.001,True,10000,1.0,5000,True,1.0212854146957397,0.9754647612571716,125.37245965003967
n_colloc,100.0,64,0.001,True,100,1.0,5000,True,1.5270485877990723,1.0268367528915405,20.678760528564453
n_colloc,1000.0,64,0.001,True,1000,1.0,5000,True,1.465125322341919,1.0313915014266968,21.194080352783203
n_colloc,10000.0,64,0.001,True,10000,1.0,5000,True,1.2270987033843994,1.0182788372039795,26.044286727905273
n_colloc,100000.0,64,0.001,True,100000,1.0,5000,True,0.9628725647926331,1.0202537775039673,100.95081853866577
physics_const,0.0,64,0.001,True,10000,0.0,5000,True,0.0006883538444526494,5.196542263031006,23.642021656036377
physics_const,0.5,64,0.001,True,10000,0.5,5000,True,0.7076165676116943,1.0154427289962769,24.701585292816162
physics_const,1.0,64,0.001,True,10000,1.0,5000,True,1.2270987033843994,1.0182788372039795,25.082656383514404
physics_const,1.5,64,0.001,True,10000,1.5,5000,True,1.6276907920837402,1.0270979404449463,23.66121244430542
physics_const,2.0,64,0.001,True,10000,2.0,5000,True,1.9750697612762451,1.02340567111969,24.81352949142456
