epoch,train_loss,forecast_mse
0,1.8764013051986694,1.0354424715042114
50,1.5575085878372192,1.0261609554290771
100,1.562116265296936,1.0256072282791138
150,1.5546300411224365,1.026483416557312
200,1.5596109628677368,1.026233434677124
250,1.5438390970230103,1.0276318788528442
300,1.5385310649871826,1.0298200845718384
350,1.5491204261779785,1.0286954641342163
400,1.5425945520401,1.0288496017456055
450,1.5424367189407349,1.0269883871078491
500,1.5404584407806396,1.0265716314315796
550,1.5442935228347778,1.027877688407898
600,1.5379215478897095,1.0287775993347168
650,1.5459198951721191,1.0265083312988281
700,1.5415258407592773,1.029675841331482
750,1.5415453910827637,1.0260354280471802
800,1.5376063585281372,1.028310775756836
850,1.5398077964782715,1.0250558853149414
900,1.5313782691955566,1.0278770923614502
950,1.53140127658844,1.026871919631958
1000,1.5288704633712769,1.026785969734192
1050,1.5240453481674194,1.0267815589904785
1100,1.5237529277801514,1.0284169912338257
1150,1.5131804943084717,1.026450753211975
1200,1.5020517110824585,1.0256555080413818
1250,1.4918261766433716,1.024701714515686
1300,1.4917688369750977,1.0290091037750244
1350,1.4847439527511597,1.025563359260559
1400,1.4691098928451538,1.027050495147705
1450,1.450535774230957,1.0260745286941528
1500,1.4297289848327637,1.024667501449585
1550,1.4022576808929443,1.0237611532211304
1600,1.3866357803344727,1.0243180990219116
1650,1.3631134033203125,1.023313283920288
1700,1.356243371963501,1.0264016389846802
1750,1.3357675075531006,1.0229852199554443
1800,1.3098902702331543,1.0226255655288696
1850,1.312866449356079,1.0229486227035522
1900,1.2958495616912842,1.0235575437545776
1950,1.2935879230499268,1.0231244564056396
2000,1.2820154428482056,1.0211012363433838
2050,1.2786965370178223,1.0225868225097656
2100,1.2734770774841309,1.0223184823989868
2150,1.259050726890564,1.0194250345230103
2200,1.2559707164764404,1.0195342302322388
2250,1.247856855392456,1.0208128690719604
2300,1.2342078685760498,1.0212122201919556
2350,1.2273592948913574,1.0207366943359375
2400,1.2116119861602783,1.0227022171020508
2450,1.1994224786758423,1.0232821702957153
2500,1.1902273893356323,1.0232356786727905
2550,1.1746934652328491,1.0250400304794312
2600,1.1698178052902222,1.0238815546035767
2650,1.1595406532287598,1.0245381593704224
2700,1.1546010971069336,1.0255681276321411
2750,1.1413105726242065,1.0241916179656982
2800,1.138308048248291,1.0251067876815796
2850,1.1357452869415283,1.0264512300491333
2900,1.1247711181640625,1.0252093076705933
2950,1.1243623495101929,1.0250544548034668
3000,1.121753215789795,1.0247066020965576
3050,1.1149730682373047,1.0254911184310913
3100,1.1079576015472412,1.026007890701294
3150,1.101987600326538,1.026389718055725
3200,1.101762056350708,1.02469003200531
3250,1.1035808324813843,1.0266441106796265
3300,1.1031931638717651,1.0265713930130005
3350,1.0948925018310547,1.026206374168396
3400,1.095167875289917,1.0267583131790161
3450,1.090264081954956,1.0256109237670898
3500,1.0880775451660156,1.0266941785812378
3550,1.0856633186340332,1.0251682996749878
3600,1.0873265266418457,1.0257840156555176
3650,1.0828535556793213,1.0257880687713623
3700,1.0845932960510254,1.025916337966919
3750,1.0818395614624023,1.025397539138794
3800,1.0819283723831177,1.0257058143615723
3850,1.0805164575576782,1.0260525941848755
3900,1.0779433250427246,1.0259665250778198
3950,1.0785861015319824,1.0253305435180664
4000,1.0694043636322021,1.0257765054702759
4050,1.0688159465789795,1.025384783744812
4100,1.074905276298523,1.0253828763961792
4150,1.0766899585723877,1.02655029296875
4200,1.0768473148345947,1.026390552520752
4250,1.0793907642364502,1.0255281925201416
4300,1.0790154933929443,1.0255824327468872
4350,1.0747087001800537,1.0261714458465576
4400,1.070631980895996,1.0254786014556885
4450,1.066121220588684,1.0261719226837158
4500,1.0742307901382446,1.0257917642593384
4550,1.0692354440689087,1.0256235599517822
4600,1.066779375076294,1.0256551504135132
4650,1.076354742050171,1.0252656936645508
4700,1.0769413709640503,1.025815725326538
4750,1.0669801235198975,1.025498628616333
4800,1.0675592422485352,1.0257043838500977
4850,1.069495439529419,1.0257625579833984
4900,1.0764310359954834,1.0255147218704224
4950,1.068034291267395,1.0255769491195679
4999,1.0700995922088623,1.0255848169326782
