group,varied_value,hidden_neurons,lr,use_scheduler,n_colloc,physics_const,epochs,success,final_train_loss,final_forecast_mse,elapsed_seconds
lr,0.1,256,0.1,False,10000,1.0,20000,True,6.26569128036499,2.1743204593658447,203.78268456459045
lr,0.05,256,0.05,False,10000,1.0,20000,True,1.6720035076141357,1.0280588865280151,205.4699411392212
lr,0.01,256,0.01,False,10000,1.0,20000,True,0.03976697102189064,0.03599638491868973,205.6456367969513
lr,0.005,256,0.005,False,10000,1.0,20000,True,0.06410209089517593,0.0438481941819191,205.71027970314026
lr,0.001,256,0.001,False,10000,1.0,20000,True,0.0012614515144377947,0.032283563166856766,203.1146900653839
hidden_neurons,256.0,256,0.001,True,10000,1.0,20000,True,0.005337913054972887,0.10523621737957001,198.97526168823242
hidden_neurons,512.0,512,0.001,True,10000,1.0,20000,True,0.002712748246267438,0.03626556694507599,484.8793206214905
hidden_neurons,1024.0,1024,0.001,True,10000,1.0,20000,True,0.0010259157279506326,0.06264204531908035,1383.23766207695
n_colloc,5000.0,256,0.001,True,5000,1.0,20000,True,0.006804969627410173,0.12128717452287674,109.64147329330444
n_colloc,10000.0,256,0.001,True,10000,1.0,20000,True,0.005337913054972887,0.10523621737957001,198.5492503643036
n_colloc,20000.0,256,0.001,True,20000,1.0,20000,True,0.0030943606980144978,0.10509928315877914,375.59722805023193
n_colloc,50000.0,256,0.001,True,50000,1.0,20000,True,0.0018988489173352718,0.054189518094062805,915.578560590744
n_colloc,100000.0,256,0.001,True,100000,1.0,20000,True,0.0019090541172772646,0.019046103581786156,1822.4818770885468
physics_const,0.5,256,0.001,True,10000,0.5,20000,True,0.0027112052775919437,0.05855633690953255,198.45351481437683
physics_const,1.0,256,0.001,True,10000,1.0,20000,True,0.005337913054972887,0.10523621737957001,198.5281753540039
physics_const,1.5,256,0.001,True,10000,1.5,20000,True,0.005155450664460659,0.07516594976186752,198.4329478740692
physics_const,2.0,256,0.001,True,10000,2.0,20000,True,0.010267362929880619,0.09768245369195938,198.4548318386078
physics_const,5.0,256,0.001,True,10000,5.0,20000,True,0.16963763535022736,0.22421856224536896,198.6224389076233
