epoch,train_loss,forecast_mse
0,1.633378505706787,1.1192361116409302
200,1.5538965463638306,1.0268852710723877
400,1.5459754467010498,1.0301923751831055
600,1.5407099723815918,1.02902090549469
800,1.5370945930480957,1.0272331237792969
1000,1.52659273147583,1.0265226364135742
1200,1.5096489191055298,1.0258677005767822
1400,1.4919686317443848,1.0251280069351196
1600,1.4745221138000488,1.0264071226119995
1800,1.3862648010253906,1.0262953042984009
2000,1.2255053520202637,1.0256987810134888
2200,1.1314764022827148,1.027310848236084
2400,1.0867966413497925,1.0292353630065918
2600,1.050477385520935,1.018872618675232
2800,1.0205918550491333,1.011191487312317
3000,0.9911847710609436,1.0052947998046875
3200,0.9549533724784851,0.9951432943344116
3400,0.9327906370162964,0.9822732210159302
3600,0.9095386266708374,0.9696202278137207
3800,0.874491810798645,0.9539195895195007
4000,0.8237587213516235,0.9380955100059509
4200,0.7738951444625854,0.9260514974594116
4400,0.7042309045791626,0.9076295495033264
4600,0.6415234804153442,0.8944731950759888
4800,0.540485680103302,0.879915714263916
5000,0.34745103120803833,0.858829140663147
5200,0.2536015510559082,0.8347288370132446
5400,0.22104255855083466,0.8102238178253174
5600,0.20892705023288727,0.7862578630447388
5800,0.2011941522359848,0.762939989566803
6000,0.19013668596744537,0.7367140650749207
6200,0.18288682401180267,0.7110430002212524
6400,0.1771063506603241,0.6888985633850098
6600,0.17350943386554718,0.6743438243865967
6800,0.16878996789455414,0.6619804501533508
7000,0.16719470918178558,0.6489235758781433
7200,0.16169893741607666,0.6393993496894836
7400,0.15920646488666534,0.6314241290092468
7600,0.15420053899288177,0.6175928115844727
7800,0.1446085125207901,0.5872077345848083
8000,0.13552530109882355,0.5506213903427124
8200,0.1286153644323349,0.5236304998397827
8400,0.12049049139022827,0.4985131025314331
8600,0.1126202791929245,0.47204962372779846
8800,0.10198647528886795,0.4322516918182373
9000,0.09276469796895981,0.3958309590816498
9200,0.08590493351221085,0.3683081865310669
9400,0.07927194982767105,0.34390386939048767
9600,0.07276241481304169,0.3195369839668274
9800,0.06686855107545853,0.29515814781188965
10000,0.061603568494319916,0.2734430134296417
10200,0.055169958621263504,0.2512870728969574
10400,0.049945857375860214,0.22564253211021423
10600,0.0442177876830101,0.20388378202915192
10800,0.04008316621184349,0.18254423141479492
11000,0.035125236958265305,0.1648484319448471
11200,0.03205494582653046,0.14892466366291046
11400,0.02904735505580902,0.13461938500404358
11600,0.026615917682647705,0.12390600889921188
11800,0.024582866579294205,0.11277689039707184
12000,0.021949974820017815,0.10224523395299911
12200,0.019879532977938652,0.09259369224309921
12400,0.017708858475089073,0.08425771445035934
12600,0.015856077894568443,0.07666890323162079
12800,0.014140892773866653,0.06990651041269302
13000,0.012349646538496017,0.0632639229297638
13200,0.011054113507270813,0.0576305091381073
13400,0.009810871444642544,0.052979618310928345
13600,0.009067126549780369,0.04945484548807144
13800,0.00821591168642044,0.04603838175535202
14000,0.007555065210908651,0.04357057437300682
14200,0.006921573542058468,0.04096122831106186
14400,0.006518772337585688,0.03843403980135918
14600,0.00603244174271822,0.03636913374066353
14800,0.0056723966263234615,0.03486805781722069
15000,0.005247530527412891,0.033199142664670944
15200,0.0048654573038220406,0.031570643186569214
15400,0.004650468472391367,0.030225437134504318
15600,0.00425089243799448,0.029073642566800117
15800,0.004038773477077484,0.027974186465144157
16000,0.003800102276727557,0.026844674721360207
16200,0.0035837371833622456,0.02587977796792984
16400,0.0033485605381429195,0.025252478197216988
16600,0.003143125679343939,0.02435341849923134
16800,0.002939143218100071,0.023711979389190674
17000,0.0027832146733999252,0.022960972040891647
17200,0.002665900392457843,0.0222611241042614
17400,0.0025134875904768705,0.021733857691287994
17600,0.0023505473509430885,0.021236469969153404
17800,0.002270856872200966,0.02081790193915367
18000,0.002205365337431431,0.020410576835274696
18200,0.0021253456361591816,0.02009650506079197
18400,0.0020771559793502092,0.019789449870586395
18600,0.002030770992860198,0.01959220878779888
18800,0.001987215830013156,0.01942584291100502
19000,0.001980187837034464,0.01920970156788826
19200,0.00195729685947299,0.019160134717822075
19400,0.0019251273479312658,0.01909041218459606
19600,0.0019001889741048217,0.01906236819922924
19800,0.0019184008706361055,0.019044648855924606
19999,0.0019090541172772646,0.019046103581786156
